PALE_ALES;BELGIANS;SOURS;WHEATS;BROWNS;PORTERS;STOUTS;LAGERS;OTHER
;;;;;;;;Malt_Liquor
;;;Polotmavý;;;;;
;;;;;;;;Low_Alcohol
;;;;;;;;Cider
;;;Weizen_Bock;;;;;
;;;;;;;India_Style_Lager;
;;Lambic_Style_Faro;;;;;;
;;;German_Kristallweizen;;;;;
;;Lambic_Style_Unblended;;;;;;
;;;;;;;;California_Common
;;;;;;;;Mead
;;;;;;;;Perry
;;;;;;;;Sahti_Gotlandsdricke_Koduõlu
;;;;;;;;Saké_Infused
;;;;;;;;Saké_Daiginjo
;;;;;;;;Saké_Taru
;;;;;;;;Saké_Koshu
;;;;;;;;Saké_Junmai
;;;;;;;;Saké_Honjozo
;;;;;;;;Saké_Nigori
;;;;;;;;Saké_Ginjo
;;;;;;;;Saké_Futsu_shu
;;;;;;;;Saké_Genshu
